V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,subject,time,y
0.626227704,1.397537314,-0.195345393,0.060329266,-1.590535274,0.117055499,-0.919752199,0.694591019,-0.17146086,-0.446742558,1,1,0
0.68502673,1.365561799,-0.102273031,0.23523835,-1.630019154,0.256421884,-1.047993175,0.590465484,0.161743331,-0.354401629,1,2,1
0.789548609,1.448950443,-0.095548365,0.216534299,-1.763671131,0.240236884,-1.071098971,0.614075265,0.06399882,-0.239200368,1,3,1
0.509114135,1.382604441,-0.353023453,0.077567047,-1.698446012,0.03580758,-1.163674945,0.298609277,-0.074281804,-0.50093169,1,4,0
0.768961388,1.437618643,0.028231788,0.068849154,-1.68786094,0.214957319,-1.022531912,0.573183278,0.186321355,-0.459952015,1,5,1
0.753417298,1.458184064,-0.108573208,0.291843963,-1.622692679,-0.050070539,-1.049730776,0.56440828,0.039671188,-0.49634947,1,6,1
0.506637081,1.439143033,-0.232322815,0.30498237,-1.747623545,0.010688542,-1.103826411,0.516075787,0.087149616,-0.559798838,1,7,0
0.865316157,1.722172969,-0.308892469,0.141734667,-1.602969068,0.146905754,-1.058561027,0.630079263,0.038378283,-0.260172667,1,8,1
0.571229051,1.581900005,-0.219806296,0.222139594,-1.715001039,0.176848453,-0.84568106,0.722493514,0.111252825,-0.49980969,1,9,1
0.671226188,1.675724849,-0.113560846,0.101363622,-1.394398458,0.248120471,-1.09165769,0.65163498,0.073579821,-0.20929067,1,10,1
0.492503094,1.438999901,-0.262194727,-0.117449105,-1.615610395,0.004677952,-1.085549833,0.584453621,-0.150227202,-0.527912309,1,11,0
0.64541439,1.376930838,-0.283121969,0.033586321,-1.555102675,0.044950114,-0.908873924,0.537415099,-0.241703552,-0.460884808,1,12,0
0.696173104,1.254036494,-0.34759441,0.303134254,-1.82642174,0.157880898,-1.053819913,0.531226914,-0.144551295,-0.385483518,1,13,0
0.613766104,1.128656317,-0.035649154,0.017148165,-1.750033311,0.068806406,-1.010156258,0.623107753,0.117423892,-0.264493857,1,14,1
0.6315469,1.415738342,-0.328834924,0.237410994,-1.669282817,-0.187323726,-1.051789096,0.406436293,0.004796384,-0.455621088,1,15,0
0.508538756,1.479737381,-0.192802089,0.064353039,-1.800227646,0.072018639,-1.204447401,0.576989565,0.136696688,-0.530441805,1,16,0
0.583547155,1.116018305,-0.298633069,0.141438738,-1.747219552,0.085275377,-1.078230927,0.454921744,-0.071818624,-0.49750329,1,17,0
0.520232355,1.439607489,-0.337275231,0.022527763,-1.730450072,0.132499639,-1.058238986,0.650651992,-0.384118989,-0.404602492,1,18,0
0.632006354,1.581135875,-0.486643813,0.089910536,-1.822139484,0.184533084,-1.002119857,0.573373957,0.058663653,-0.625711969,1,19,0
0.637147239,1.441807792,-0.067405203,0.118307009,-1.765389417,0.021557974,-1.032915394,0.682858341,0.177835935,-0.409880799,1,20,0
0.598284776,1.289088986,-0.218455685,0.263995466,-1.855763079,0.004159459,-1.083088709,0.51391253,-0.042600726,-0.310782298,1,21,0
0.486796284,1.443783983,-0.073127724,0.011200762,-1.700937766,0.106276996,-1.249055886,0.517657818,-0.037283086,-0.375845298,1,22,0
0.520333133,1.443985751,-0.192831174,0.040831587,-1.681655173,0.062713089,-1.103861671,0.454556616,-0.139954081,-0.485722497,1,23,0
0.781198176,1.40359564,-0.104619873,0.301119129,-1.739563994,0.217173388,-1.005870805,0.508890802,0.081451868,-0.25104654,1,24,1
0.471165427,1.359946495,-0.468059464,0.059978973,-1.790749626,-0.003440819,-0.971856791,0.523516754,0.001789183,-0.35085208,1,25,0
0.762222916,1.367215433,-0.187840281,-0.0231335,-1.879569557,-0.041676722,-1.094234975,0.48740968,0.041976734,-0.365887081,1,26,0
0.552329604,1.362006425,-0.286732327,0.095446838,-1.767285038,0.061686191,-1.067325053,0.643138806,-0.017610236,-0.608116968,1,27,0
0.627642878,1.450088425,-0.204651794,0.302785416,-1.776057335,0.105437172,-1.116819425,0.479212183,-0.154506328,-0.410953583,1,28,0
0.751137518,1.475951035,-0.249973023,0.262581684,-1.63997331,-0.037329978,-1.001719581,0.796069905,0.109727817,-0.17306645,1,29,1
0.880450266,1.491442616,-0.150406425,0.223177187,-1.716899898,0.213134925,-0.978233854,0.861235424,0.168040522,-0.450994925,1,30,1
0.588044958,1.338427577,-0.340247324,0.097284139,-1.789443833,0.150360209,-0.928989599,0.559586403,0.019461894,-0.484803902,1,31,0
0.654421312,1.34638956,-0.499828519,0.19016324,-1.838258905,-0.085607884,-1.076280516,0.445332436,-0.034995766,-0.476008794,1,32,0
